13101,13824,14090,14916,14571,14657,14828,14563,13834,13011,13045,13074,12895,13600,13872,14404
13665,14368,14580,14586,14224,14349,14518,14544,13886,13864,13882,13900,13904,13912,13895,13926
13911,14600,14337,14184,14261,13939,13955,14575,13882,13778,13777,13760,13821,13800,13795,13734
14344,14455,14290,14704,14075,14241,15081,14491,13858,13856,13835,13920,13879,13893,13884,13876
14156,14103,14505,14158,14184,14478,13915,14562,13739,12720,13117,13218,13214,13233,13460,13671
13606,14400,13680,14732,14018,13710,14440,14520,13605,13518,13513,13657,13418,13727,13518,13661
14121,14756,13981,14245,13757,14373,14436,14918,13742,13562,13597,13441,13509,13622,13661,13509
14393,14086,14543,14224,13959,14187,14372,14288,13519,13689,13675,13644,13591,13555,13547,13511
14005,13830,14270,13858,14109,13582,14124,14215,13659,13606,13664,13695,13676,13736,13709,13443
13893,14165,14278,14186,14461,14030,14009,14097,13676,13746,13705,13662,13721,13805,13830,13802
